不是环肥燕瘦,7.8,76,1786
海阔天空 III,9.0,64,5384
老板，你好,6.4,134,4718
大牛,7.0,450,12792
追梦人,5.2,76,1382
极至嫣然,4.8,256,7102
茶子木十,8.0,1081,25483
灯塔,7.4,139,3971
天赋的梦,6.8,16,514
荷尔蒙定律,6.6,60,1671
聚光灯外,7.2,334,18543
艺管小姐,8.0,185,6600
单身小姐,7.2,140,3415
中场休息,7.2,267,3798
名利场,7.4,198,6377
四月海,7.4,486,43110
职海轻舟,6.2,95,2447
无妄,5.8,249,7971
小围城,0,0,354
花尸,7.6,22,667
宝妈归来,7.4,321,13247
虚荣,0,0,1150
这一无是处的爱情,0,0,744
从早到晚,7.2,99,3233
嗑瓜子的女人,7.4,11,956
一个人的博弈,0,0,474
流转的，不停的，清晰的,6.6,362,13277
女教师秘史,0,0,780
梦想城市,4.2,73,790
穿越千里去上班,7.0,356,12368
冬天的红杉树,6.6,107,5932
小城女工,8.2,686,40728
魅惑,4.8,65,1444
风起了,5.4,82,1834
火花,6.8,323,9808
我是一个事业编的90后,5.2,287,10551
空巢青年,7.6,568,29810
请像正常人一样去恋爱,0,0,2592
青柠,7.2,12,694
味,0,0,415
远宸,0,0,174
老燕,7.8,396,24325
姐姐快跑,7.6,11,1019
像孩子一样去爱,5.6,244,7260
大女人联盟,6.8,120,3467
玛格丽特的红咖啡,6.0,327,14256
坐柜,6.8,320,7768
全世界冲过来的公共汽车,0,0,676
明天,5.4,78,966
朴文的河流,6.6,64,1646
贪心的曾小晚,6.2,360,10049
故乡的游客,7.8,141,6141
粉饰太平,7.0,299,6833
双色女博士,6.6,69,2157
爱丁堡火车站谋杀案,0,0,47
水袖,0,0,1261
恋爱税,7.4,167,3062
画图狗,7.2,391,17964
不再回首,6.4,70,2817
可可香,6.8,293,12796
青春的画卷,6.6,140,3493
美错,6.2,148,3476
逸弈者,5.4,199,3311
等待那个最好的他,7.4,23,638
亲爱的杀手,8.8,16,5471
情迷博弈,7.4,11,2004
星光灿烂月儿静,4.4,131,1967
静香,0,0,402
减分制,6.0,49,1393
她们活在21世纪,5.0,126,1529
面纱,0,0,1067
庙小妖风大,6.8,114,3612
有时晚风凉,7.6,319,8208
重回往昔,0,0,645
狼与狈,0,0,789
高校教师,6.4,88,2163
蓝色羊毛衣,0,0,226
你的白天和黑夜,6.8,374,13642
荒野来的女人,0,0,702
明日天涯,7.0,18,3005
外遇,5.8,24,2594
破蛹,0,0,119
串儿,0,0,231
嫁不嫁是另一回事儿,6.8,158,5192
重启,0,0,283
步步为营,5.6,264,4461
我们这样的人,0,0,164
迷失在胡同里,7.8,13,1544
凌寒独自开,7.4,139,5076
寻觅,7.8,365,12789
内部竞聘,0,0,688
孙晴晴的独立人生,0,0,489
瓷娃娃,7.2,74,1053
情迷博弈II,0,0,470
白色栀子花,0,0,799
八美图,6.6,51,1426
寒窑,0,0,382
千面女上司,7.0,27,675
毕业一年,6.2,131,2442
我的四大生涯,7.2,669,38301
我的闺蜜李婉儿,0,0,660
似是阿修罗,6.8,132,2467
景慕桑榆,0,0,13
原地沸腾,8.2,97,4036
独身公害,8.0,17,880
与杜小姐的七日谈,7.2,18,730
我当然爱你，只是你不知,0,0,1984
黑白颠倒,7.8,79,3681
一场和利己主义者的战争,7.4,29,1147
告别,7.2,142,2862
再见了，斯德哥尔摩先生,0,0,126
失忆蝴蝶,7.2,164,5407
总想搞个大新闻,6.6,281,4072
女博士的现代爱情 ,4.0,227,19932
她的国,0,0,645
结婚,7.0,131,2684
左右,0,0,235
那一年,7.0,74,2499
三十岁的夜晚,6.6,342,12916
再见，大小姐,0,0,432
明尼苏达的秋冬春夏,6.8,59,1915
黄小姐的单身游戏,0,0,186
纪念日,8.4,84,6129
鳄鱼的眼泪,7.2,11,1674
夏天的春天,0,0,178
两棵树,6.4,64,1736
楼月芳菲,0,0,269
长沙沙水水无沙,0,0,4
你的努力终有回报,7.6,14,941
鲸鲨,7.0,240,7556
阳春面,6.0,331,6917
告别,7.2,27,3501
婚姻之殇,0,0,758
海边的402,6.2,218,5775
丢失性别的人,6.8,110,2075
择城,6.4,140,1890
进入单身,0,0,839
雨季,5.8,267,4054
风铃,0,0,475
卑劣手段,7.8,132,3014
失控的女神,6.8,69,1258
三流女教师,0,0,456
小范,6.4,75,1938
操场,4.2,76,979
风起青萍之末,6.2,134,3867
山间的Ballerina,6.2,42,620
一只家猫的三次转身,0,0,279
邓雨竹的三天,5.6,127,2278
寂寞如初,7.2,61,1719
冥想盆里的那颗星,6.6,56,1571
风生水起叶未落,6.6,134,4366
保险代理员之死,7.4,69,2187
从山顶张望,7.4,59,1119
或重于其他山,6.2,31,1576
米妮，向前冲！,7.4,609,75270
信使,6.8,256,4523
校办主任,6.8,76,2371
天敌,6.8,326,9914
为爱情单身,0,0,440
渡过远山,0,0,299
女家,7.0,59,1286
凌晨之夜,6.2,52,975
假寐,5.8,68,1806
离职大师,6.8,340,15768
必须荒废的夏天,7.8,80,1912
逃离,0,0,839
槐宿,6.2,74,970
指随心动,7.6,80,1948
失衡,6.0,264,8366
白晓晓职场逃亡记,7.8,436,38663
敏女的心事,0,0,92
戒烟的猫,8.6,33,5001
有人会爱，有人则不,0,0,49
电视恋人,6.8,311,6833
落雪夏成殇,0,0,245
海上记事,5.8,229,3920
白山雪满,6.8,76,1359
剩女的桃花期,0,0,286
毕业十年,6.8,64,1980
被荷尔蒙拐跑的女人,7.6,532,23203
我的一段写作经历,0,0,775
一个人的恋爱,6.8,12,442
二十五岁的前半年,0,0,291
爱情满屋,7.8,741,51874
潋滟香,0,0,437
择偶条件,0,0,84
外面的世界,0,0,382
贝林的智齿,7.0,301,6654
我不是流氓,0,0,376
叶工,5.8,64,1000
绿谷,8.0,13,1538
单行向北,0,0,295
蚂蚁,0,0,271
相亲那件小事,0,0,571
25,0,0,291
鸡柳下船前的六天,0,0,370
一无是处的漂亮女人,0,0,210
活到三十岁,0,0,655
青雨清秋,0,0,66
龙舌兰日出,0,0,185
我不是狗仔,0,0,488
別了知了,0,0,177
路过万水千山,0,0,242
不爱的第四个句号,0,0,611
红豆,7.6,11,577
七年之痒,0,0,356
牵你走过独木桥,6.8,48,1151
非洲人,5.0,73,1329
愿赌服输,7.6,11,1094
女同事和摄影师,8.2,11,682
过客,0,0,124
摇篮,6.2,269,7610
女神请闭眼,6.0,328,5997
职心术,5.0,129,2613
孙悟空！你哪里走？,0,0,239
谁见幽人独往来,0,0,494
One Art,7.8,13,427
独家新闻,7.2,287,17968
今时今日陈年旧事,7.0,291,6730
几乎爱情,4.8,46,960
人生的108场会议,6.8,160,4637
秋已尽日尤长,6.4,66,2040
谁还留在晚霞外,6.2,67,1480
跟我一起，吃汤泡饭吧,6.8,153,3238
彭博之约,6.2,287,5455
夏始春余都等着你,0,0,221
女员工的覆命失败之旅,0,0,584
林荫之道,0,0,113
悯花,0,0,156
夏末 ，32℃,0,0,316
铠甲,7.8,13,2699
单身婚姻,0,0,563
家,0,0,236
玉城,0,0,253
柏拉图协定,0,0,318
间隔年,0,0,3913
不典型辞职,6.2,277,5786
一个人是一座岛,6.8,341,16500
致A君,0,0,156
遇见更好的自己,0,0,380
航行,0,0,170
良朋故侣孰我有,0,0,35
山寨之王,8.6,23,2861
灰姑娘的水晶鞋,6.2,280,8422
昨日星光,0,0,125
三十岁的女人,0,0,394
中女的丧与勇,0,0,253
单身时代,7.6,16,557
空气凤梨,0,0,85
我非英雄,0,0,366
邢好好注定孤独的生活,0,0,260
为什么我们不结婚,0,0,634
飘儿,0,0,168
Summer,0,0,508
成长,7.0,73,2981
北有乔木，展在心中,0,0,403
她的荒诞史,0,0,208
是谁偷走我的温柔,0,0,1575
那年，我初涉江湖,0,0,488
四季芳菲,7.0,16,545
麻辣老师的麻辣情,7.6,19,977
25，30，35,0,0,323
此意经年不作别,6.8,264,19174
单身狗是怎样炼成的,0,0,330
当你走进我的小宇宙,0,0,133
零下四十七度,0,0,553
不结婚,0,0,397
前世今生,0,0,22
欲望之城,0,0,80
陈列之路,0,0,269
富一代,5.4,127,13628
三个女人,0,0,6
不嫁,0,0,241
女作家和她的女儿,0,0,384
我是莫魔头,0,0,692
独行星,0,0,171
我独自生活的朋友们,0,0,474
前姻后果,7.6,13,30943
好梦难圆,0,0,14
新浮生六记,0,0,13
母爱,8.0,27,2330
野有蔓草,0,0,7
丑女历险记,0,0,8
太阳的姿势,0,0,46
谢谢你离开我,6.6,19,1738
与枕俱醒,0,0,273
我害怕练习瑜伽的自己,0,0,177
余安,0,0,181
一天,6.6,384,6619
心镜,0,0,234
费尔维尔,0,0,240
南北,0,0,7
楚辞二十四岁的单身生活,0,0,44
无法抚慰,0,0,161
你本不必平庸,7.6,493,22202
她们,0,0,132
晚来风,0,0,181
Single六人夜谈,0,0,109
慢慢喜欢你,0,0,8
玫瑰只盛开一次,0,0,1360
美好的 遇见,0,0,223
偏爱,0,0,139
从咖啡馆到冰淇淋店,0,0,190
赵萌没有和他去民政局,7.6,12,1958
金融街里的白骨精,0,0,422
西南的雨丝,0,0,536
从清晨到日暮,0,0,13
茕茕惜缘,7.2,16,478
淡爱,8.2,235,3499
相见恨晚谢图南,0,0,6
夜姬,7.6,897,72601
明珠,0,0,27
相逢是首歌,0,0,278
最最遥远的距离,0,0,47
梦醒时分,0,0,234
沼泽里的人,0,0,567
涉江采芙蓉,0,0,747
社会期待的枷锁,0,0,332
爱之将死,0,0,617
香港备胎,8.2,172,227621
或许一个人,0,0,547
双失记,0,0,349
身心已过万重山,0,0,229
选择,0,0,989
我的爱是一场大雪落在你心上,0,0,546
青鸟,7.4,55,1521
意囧,0,0,318
灵魂的变迁,0,0,262
卡罗尔,0,0,162
流水线上苦涩的青春,4.6,258,5362
祝融,0,0,144
女人的舞场,8.2,22,10458
一个,0,0,2
长公主成长史,7.6,12,405
建筑女工的一天,0,0,349
爱是一种偶然,0,0,215
我的奋斗（Ⅰ）：农村女孩艾一的作家梦,0,0,782
迷路的夏天,0,0,407
龙船花,7.6,16,566
心语,0,0,320
一个女人的爱情浮世绘,0,0,1046
青衣与花旦,0,0,119
我在18楼的房间边吃炸鸡边想你,0,0,10
你说爱像云，要自在漂浮才美丽,0,0,15
青春的句号,0,0,9
晚安书店,0,0,41
前男友公寓,0,0,24
幽落,0,0,76
爱吧，大不了死掉,0,0,69
冷雨炎情，众里荨萱,0,0,341
斯德哥尔摩的情人,0,0,13
我想我们该说点什么,0,0,28
站在29岁尾巴上的女孩儿们,7.8,15,3569
爱须走过黑夜,0,0,139
红与江月,0,0,43
半局棋,0,0,343
女皇的后裔,0,0,257
蓬门迭户 只为君开,0,0,458
兄妹养成记,0,0,58
我是你的小尾巴,0,0,7
浪漫的食谱,0,0,207
一个死去的年轻人让我问了一直想问的问题,0,0,30
陆离斑驳,0,0,107
漩涡,0,0,15
王太太的罗曼史,0,0,1454
情非得已,0,0,8
向日葵之死,0,0,3
在时间的长河里，刻舟求剑,0,0,214
奔跑吧！苏苏,0,0,146
不曾被辜负的遗忘,0,0,38
少女的剑,0,0,198
嚣伯和云藩,0,0,32
我的二十几岁,0,0,12
裸婚十年,0,0,364
张桃桃的短篇小说们,0,0,44
如风,0,0,274
一个人的爱情,0,0,9477
想和火锅谈场恋爱,0,0,191
比林英雄传-安琪儿传,0,0,112
奋不顾身,0,0,3269
斑马线,7.2,14,2934
和你不一样的你,0,0,153
我的小概率事件,0,0,25
对他说,7.4,47,2152
渣男启示录,0,0,24
我们的少女时代,0,0,2931
上海女人,0,0,54
贤良淑德的女子,0,0,76
花心·之一 涧西春梦,0,0,677
雷峰塔,0,0,45
阔水浮萍,0,0,38271
大胆说爱我,0,0,864
他和我的故事,0,0,66
致与我一路相伴的陆小呆先生,0,0,29
我想嫁个有钱人,0,0,37
深宅大院,0,0,14
陶艾艾的情事,0,0,25
懒慢记,0,0,32
恋猫物语,0,0,9
血染落梅尽尘埃,0,0,12
恨嫁林粒,0,0,336
超敏人生,0,0,5
千帆阅近 见此邂逅,0,0,133
发结情缘,0,0,59
隐婚无罪,0,0,4276
予你钟情 · Falling for you,0,0,89
Ladies,0,0,211
别韵别离,0,0,42
跳蚤街女孩,0,0,25
一起喝柠檬苏打水吧,7.4,19,2617
不完全追星battle,0,0,19
archiPM测试4,0,0,0
五胡明月,0,0,23
她总在恋爱时写作,0,0,24
一路走来,7.8,23,3370
当我们谈不安全感时，我们谈论什么,0,0,100
程曼,0,0,6
异性·同居人,0,0,6
有爱无爱都一生,0,0,180
口红,0,0,614
神奇的云鱼国,0,0,60
爱在边缘,0,0,45
情迷博弈,7.8,13,6540
关于约炮那点事：小猫和羊,0,0,179
她在灵堂之上,0,0,20
秘密,0,0,14
涅尔俄兰达之墙,0,0,3289
女神与女妖,0,0,12
为爱再出发：单亲妈妈的成长故事,0,0,42
山鬼之爱,0,0,44
娃娃呦娃娃,0,0,97
白色墙壁深爱的花痕,0,0,9
单身日记,0,0,364
夏诀,0,0,813
25岁，没有遇见爱情,0,0,209
在漫长夏日的尽头,0,0,16
春山青,0,0,9
像她那样的女孩儿,0,0,3461
面具,0,0,11
这个夏天恋上你,0,0,17
现世挣扎,0,0,75
逝去的清晨,0,0,37
刚好遇见你,0,0,40
后心经,0,0,9
我这一家子,0,0,15
上海幸运儿,0,0,1599
Done,0,0,106
爱你如初,0,0,13
南湘的IVF计划,0,0,14
城市忧伤笔录,0,0,11
美好如期而至,0,0,57
谁人识君心,0,0,268
且与白云期,0,0,38
柠檬,0,0,51
花园街,0,0,557
你丫想啥呢,0,0,44
左岸生活,0,0,71
《杀死那只圣鹿》,0,0,59
生死,0,0,32
偏惹蔷薇,0,0,20
绝对孤独,0,0,90
爱无止境,0,0,10086
魔都的奢侈之路,0,0,142
恋爱这件小事儿,0,0,19
爱情暴食症,0,0,343
代王后之死,0,0,461
春浊,0,0,100
白夜之歌,0,0,5
天乩之白蛇传说改编一宿命,0,0,10
茧,0,0,46
你们是谁,0,0,112
绯色穿越,0,0,34
空白的岔路口,0,0,19
心愿,0,0,704
不谈感情,0,0,44
舞蹈教室,7.4,14,7095
电商女王,0,0,71
格子手帕,0,0,64
恁时相见早留心,0,0,301
年龄，你能把我怎么样？,0,0,235
海星,0,0,578
随风飘,0,0,173
